2020-11-27 22:50:29.789 INFO  [15775] [main@53] 

==============================================START CLIENT==============================================
2020-11-27 22:50:30.642 INFO  [15775] [ZmqChatClient::CZmqChatClient::checkName@287] user name <- User
2020-11-27 22:50:30.818 INFO  [15775] [ZmqChatClient::CZmqChatClient::checkIp@297] server ip <- localhost
2020-11-27 22:50:30.970 INFO  [15775] [ZmqChatClient::CZmqChatClient::checkPort@310] sendPort <- 5555
2020-11-27 22:50:30.970 INFO  [15775] [ZmqChatClient::CZmqChatClient::checkPort@311] recvPort <- 5556
2020-11-27 22:50:30.970 INFO  [15776] [print_impl@21] Receiver: try connect to server [tcp://localhost:5556]
2020-11-27 22:50:30.970 INFO  [15776] [print_impl@21] OK.
2020-11-27 22:50:30.970 INFO  [15775] [print_impl@21] Sender: try connect to server [tcp://localhost:5556]
2020-11-27 22:50:30.971 INFO  [15775] [print_impl@21] OK.
2020-11-27 23:33:21.033 INFO  [15775] [print_impl@21] caught signal: 
2020-11-27 23:33:21.033 INFO  [15775] [print_impl@21] 2
2020-11-27 23:33:21.033 INFO  [15775] [ZmqChatClient::CZmqChatClient::startSending@206] exit start sending
2020-11-27 23:33:21.033 INFO  [15775] [print_impl@21] Stopping threads...
2020-11-27 23:33:21.033 INFO  [15775] [print_impl@21] receiver joined
2020-11-27 23:33:21.033 INFO  [15775] [print_impl@21] sender joined
2020-11-27 23:33:21.033 INFO  [15775] [print_impl@21] Ok.

2020-11-27 23:33:21.033 INFO  [15775] [main@67] ==============================================END CLIENT==============================================


2020-11-27 23:54:32.501 INFO  [18463] [main@53] 

==============================================START CLIENT==============================================
2020-11-27 23:54:40.547 INFO  [18463] [print_impl@22] caught signal: 
2020-11-27 23:54:40.547 INFO  [18463] [print_impl@22] 2
2020-11-27 23:54:41.874 INFO  [18463] [print_impl@22] caught signal: 
2020-11-27 23:54:41.874 INFO  [18463] [print_impl@22] 2
2020-11-27 23:54:42.114 INFO  [18463] [print_impl@22] caught signal: 
2020-11-27 23:54:42.114 INFO  [18463] [print_impl@22] 2
2020-11-27 23:58:26.068 INFO  [18654] [main@53] 

==============================================START CLIENT==============================================
2020-11-27 23:58:26.793 INFO  [18654] [ZmqChatClient::CZmqChatClient::checkName@289] user name <- User
2020-11-27 23:58:27.369 INFO  [18654] [ZmqChatClient::CZmqChatClient::checkIp@299] server ip <- localhost
2020-11-27 23:58:28.224 INFO  [18654] [ZmqChatClient::CZmqChatClient::checkPort@312] sendPort <- 5555
2020-11-27 23:58:28.224 INFO  [18654] [ZmqChatClient::CZmqChatClient::checkPort@313] recvPort <- 5556
2020-11-27 23:59:22.008 INFO  [18654] [print_impl@22] caught signal: 
2020-11-27 23:59:22.008 INFO  [18654] [print_impl@22] 2
2020-11-27 23:59:25.632 INFO  [18654] [print_impl@22] caught signal: 
2020-11-27 23:59:25.632 INFO  [18654] [print_impl@22] 2
2020-11-27 23:59:26.576 INFO  [18654] [print_impl@22] caught signal: 
2020-11-27 23:59:26.576 INFO  [18654] [print_impl@22] 2
2020-11-27 23:59:26.840 INFO  [18654] [print_impl@22] caught signal: 
2020-11-27 23:59:26.840 INFO  [18654] [print_impl@22] 2
2020-11-27 23:59:27.088 INFO  [18654] [print_impl@22] caught signal: 
2020-11-27 23:59:27.088 INFO  [18654] [print_impl@22] 2
2020-11-27 23:59:27.296 INFO  [18654] [print_impl@22] caught signal: 
2020-11-27 23:59:27.296 INFO  [18654] [print_impl@22] 2
2020-11-27 23:59:27.600 INFO  [18654] [print_impl@22] caught signal: 
2020-11-27 23:59:27.600 INFO  [18654] [print_impl@22] 2
